Sample,,"Baseline
Jitter (us)"
1, 8;,8
2, 5;,5
3, 9;,9
4, 5;,5
5, 1;,1
6, 7;,7
7, 7;,7
8, 0;,0
9, 5;,5
10, 3;,3
11, 0;,0
12, 3;,3
13, 5;,5
14, 0;,0
15, 6;,6
16, 4;,4
17, 6;,6
18, 1;,1
19, 6;,6
20, 7;,7
21, 3;,3
22, 4;,4
23, 4;,4
24, 4;,4
25, 2;,2
26, 5;,5
27, 7;,7
28, 7;,7
29, 2;,2
30, 8;,8
31, 1;,1
32, 5;,5
33, 1;,1
34, 5;,5
35, 8;,8
36, 7;,7
37, 0;,0
38, 0;,0
39, 5;,5
40, 1;,1
41, 0;,0
42, 0;,0
43, 5;,5
44, 2;,2
45, 3;,3
46, 3;,3
47, 2;,2
48, 6;,6
49, 9;,9
50, 1;,1
51, 8;,8
52, 0;,0
53, 1;,1
54, 4;,4
55, 7;,7
56, 7;,7
57, 5;,5
58, 0;,0
59, 7;,7
60, 1;,1
61, 6;,6
62, 0;,0
63, 5;,5
64, 1;,1
65, 1;,1
66, 6;,6
67, 2;,2
68, 3;,3
69, 7;,7
70, 2;,2
71, 7;,7
72, 0;,0
73, 4;,4
74, 3;,3
75, 5;,5
76, 7;,7
77, 7;,7
78, 0;,0
79, 2;,2
80, 5;,5
81, 6;,6
82, 7;,7
83, 4;,4
84, 5;,5
85, 2;,2
86, 4;,4
87, 6;,6
88, 36;,36
89, 2;,2
90, 9;,9
91, 4;,4
92, 1;,1
93, 9;,9
94, 4;,4
95, 9;,9
96, 2;,2
97, 6;,6
98, 2;,2
99, 7;,7
100, 6;,6
101, 0;,0
102, 8;,8
103, 4;,4
104, 1;,1
105, 0;,0
106, 2;,2
107, 2;,2
108, 6;,6
109, 0;,0
110, 7;,7
111, 2;,2
112, 9;,9
113, 0;,0
114, 5;,5
115, 2;,2
116, 2;,2
117, 2;,2
118, 0;,0
119, 2;,2
120, 6;,6
121, 3;,3
122, 1;,1
123, 7;,7
124, 1;,1
125, 0;,0
126, 2;,2
127, 4;,4
128, 3;,3
129, 4;,4
130, 2;,2
131, 300;,300
132, 6;,6
133, 4;,4
134, 2;,2
135, 2;,2
136, 5;,5
137, 8;,8
138, 8;,8
139, 0;,0
140, 5;,5
141, 1;,1
142, 8;,8
143, 8;,8
144, 0;,0
145, 2;,2
146, 1;,1
147, 0;,0
148, 7;,7
149, 0;,0
150, 4;,4
151, 6;,6
152, 7;,7
153, 9;,9
154, 8;,8
155, 9;,9
156, 2;,2
157, 5;,5
158, 0;,0
159, 1;,1
160, 5;,5
161, 4;,4
162, 6;,6
163, 5;,5
164, 3;,3
165, 1;,1
166, 7;,7
167, 2;,2
168, 6;,6
169, 7;,7
170, 6;,6
171, 5;,5
172, 9;,9
173, 0;,0
